,ID,CD_GEOCODIGO,TIPO,CD_GEOCODBA,NM_BAIRRO,CD_GEOCODSD,NM_SUBDISTRITO,CD_GEOCODDS,NM_DISTRITO,CD_GEOCODMU,NM_MUNICIPIO,NM_MICRO,NM_MESO,NM_UF,CD_NIVEL,CD_CATEGORIA,NM_CATEGORIA,NM_LOCALIDADE,LONG,LAT,ALT,GM_PONTO_sk
,14004,315700510000001,URBANO,,,31570051000,,315700510,FERREIRÓPOLIS,3157005,SALINAS,SALINAS,NORTE DE MINAS,MINAS GERAIS,2,10,VILA,FERREIRÓPOLIS,-42.22979126,-15.98768488,548.638471,1J6E]RX;o:Mp
,14005,315700510000003,RURAL,,,31570051000,,315700510,FERREIRÓPOLIS,3157005,SALINAS,SALINAS,NORTE DE MINAS,MINAS GERAIS,3,00006,POVOADO,MONTESCLARINHOS,-42.14194191,-15.97053244,584.079613,1J6E]tUd].c-
,14006,315700525000001,URBANO,,,31570052500,,315700525,NOVA MATRONA,3157005,SALINAS,SALINAS,NORTE DE MINAS,MINAS GERAIS,2,25,VILA,NOVA MATRONA,-42.29804049,-15.9566829,601.662883,1J6E]QeL^y6-
,14007,315710405000001,URBANO,,,31571040500,,315710405,SALTO DA DIVISA,3157104,SALTO DA DIVISA,ALMENARA,JEQUITINHONHA,MINAS GERAIS,1,05,CIDADE,SALTO DA DIVISA,-39.95075602,-15.9975707,128.01721,1J6EBr).Ag?-
,14008,315720305000001,URBANO,,,31572030500,,315720305,SANTA BÁRBARA,3157203,SANTA BÁRBARA,ITABIRA,METROPOLITANA DE BELO HORIZONTE,MINAS GERAIS,1,05,CIDADE,SANTA BÁRBARA,-43.40522099,-19.96559119,757.834174,1J6t98lLwA;p
,14009,315720310000001,URBANO,,,31572031000,,315720310,BARRA FELIZ,3157203,SANTA BÁRBARA,ITABIRA,METROPOLITANA DE BELO HORIZONTE,MINAS GERAIS,2,10,VILA,BARRA FELIZ,-43.45668656,-19.96192288,734.830118,1J6t94ncW4Pf
,14010,315720315000001,URBANO,,,31572031500,,315720315,BRUMAL,3157203,SANTA BÁRBARA,ITABIRA,METROPOLITANA DE BELO HORIZONTE,MINAS GERAIS,2,15,VILA,BRUMAL,-43.45373388,-19.98456026,735.184153,1J6t9B;m*tK>
,14011,315720325000001,URBANO,,,31572032500,,315720325,CONCEIÇÃO DO RIO ACIMA,3157203,SANTA BÁRBARA,ITABIRA,METROPOLITANA DE BELO HORIZONTE,MINAS GERAIS,2,25,VILA,CONCEIÇÃO DO RIO ACIMA,-43.58294321,-20.07431852,802.44367,1J6t9=B<gT.p
,14012,315720330000001,URBANO,,,31572033000,,315720330,FLORÁLIA,3157203,SANTA BÁRBARA,ITABIRA,METROPOLITANA DE BELO HORIZONTE,MINAS GERAIS,2,30,VILA,FLORÁLIA,-43.31210717,-19.95288292,672.625388,1J6t99jg7Jmf
,14013,315725205000001,URBANO,,,31572520500,,315725205,SANTA BÁRBARA DO LESTE,3157252,SANTA BÁRBARA DO LESTE,CARATINGA,VALE DO RIO DOCE,MINAS GERAIS,1,05,CIDADE,SANTA BÁRBARA DO LESTE,-42.14084058,-19.97579267,785.003652,1J6T.8ZzgWcp
