CIDADE;TEMPERATURA MÉDIA;ALT(M);LAT (º DEC.);LONG (ºdec);MÊS;ANO
Barra;26.7;407.5;11.1;43.1;4;2019
Barra;26.6;407.5;11.1;43.1;5;2019
Barra;26.4;407.5;11.1;43.1;6;2019
Barra;26.6;407.5;11.1;43.1;7;2019
Barra;27.8;407.5;11.1;43.1;8;2019
Barra;29.0;407.5;11.1;43.1;9;2019
Barra;29.6;407.5;11.1;43.1;10;2019
Barra;29.6;407.5;11.1;43.1;11;2019
Barra;28.8;407.5;11.1;43.1;12;2019
Barreiras;25.8;447.5;12.2;45.0;1;1999
Barreiras;25.5;447.5;12.2;45.0;2;1999
Barreiras;24.5;447.5;12.2;45.0;3;1999
Barreiras;26.7;447.5;12.2;45.0;4;1999
